german,english1,english2
"Die alten Hunde wiesen ein schlechteres Erinnerungsvermögen auf , besonders wenn mehreres gleichzeitig geschah .","It was harder for all the older dogs to remember things , especially when several things were happening at the same time .","The old dogs had a worse memory , especially when more was done at the same time ."
Wir haben dieses Gespräch doch schon einmal geführt !,We 've had this conversation before .,We have had this conversation before !
Thailand liegt in Asien .,Thailand is in Asia .,Thailand is located in Asia .
Kommen Sie morgen wieder .,Come again tomorrow .,Come back tomorrow .
Ich kann mich an nichts erinnern .,I can 't remember anything .,I don 't remember anything .
"Tom ist es gewohnt , früh aufzustehen .",Tom is used to getting up early .,Tom is used to getting up early .
"Wir wollen nicht , dass du das tust .",We don 't want you to do that .,We don 't want you to do this .
Warst du in Tom verliebt ?,Were you in love with Tom ?,Were you in love with Tom ?
Rechne es aus .,Do the math .,Check it out .
"Wie war die Beziehung zu deinem Vater , als du ein Kind warst ?",What was your relationship with your father like when you were a kid ?,How was your relationship with your father when you were a kid ?
Ich habe ihm zur Geburt seines Sohnes gratuliert .,I congratulated him on the birth of his son .,I congratulated him on the birth of his son .
"Die Menge an Papier , die in einem Lande produziert wird , steht in einem engen Verhältnis zu seinem Kulturniveau .",The amount of paper produced by a country is closely related to its cultural standards .,The amount of paper produced in a country is in close relation to its cultural level .
"Wartet hier , bis wir wiederkommen .",Wait here until we get back .,Wait here until we get back .
"Tom fragte Mary , ob sie vorhatte , schwimmen zu gehen oder nicht .",Tom asked Mary whether she planned to swim or not .,Tom asked Mary if she was going to go for a swim or not .
Gestern kauften sie einen neuen Computer .,They bought a new computer yesterday .,They bought a new computer yesterday .
Tom ist enttäuscht .,Tom is disappointed .,Tom is disappointed .
"Tom , sag etwas .","Tom , say something .","Tom , say something ."
"Ihr könnt nicht so tun , als wäre es nicht geschehen .",You can 't pretend that it didn 't happen .,You can 't pretend it didn 't happen .
Heute Abend komme ich wieder .,I 'll be coming back tonight .,I 'll be back tonight .
Tom geht sehr langsam .,Tom walks very slowly .,Tom is going very slowly .
""" Ich will sterben "" . - "" Erst , ich bitt ' dich , lerne , was es heißt zu leben ! """,""" I want to die . "" "" First , I pray you , learn what it is to live . """,""" I want to die . "" - "" First , I pray you , learn what it means to live ! """
Tom gibt euch die Schuld am Tod seiner Frau .,Tom blames you for the death of his wife .,Tom blames you for the death of his wife .
Während eines Sturms zu fahren kann gefährlich sein .,Driving during a storm can be dangerous .,Driving during a storm can be dangerous .
"Willst du wissen , wie ?",Do you want to know how ?,You want to know how ?
"Komm rein , Tom .","Come on in , Tom .","Come in , Tom ."
Warum nennst du die Dinge nicht beim Namen ?,Why don 't you call a spade a spade ?,Why don 't you call things by name ?
Das wird großartig .,This is going to be great .,This is gonna be great .
"Ich wüsste nicht , warum Tom den Wunsch haben sollte zu gehen .",I can 't think of any reason why Tom would want to leave .,I don 't know why Tom should have the wish to leave .
Gib es nicht auf !,Don 't give up !,Don 't give it up !
"Der König und die Königin umarmten einander , und sie verkündete ihm die ganze Mär .","The king and queen embraced each other , and she told him the whole story .","The king and the queen hugged each other , and she told him the whole thing ."
"Es ist schwer , es Tom recht zu machen .",Tom is a hard person to please .,It 's hard to make Tom right .
Sie haben uns schmählich im Stich gelassen .,You abandoned us in the most disgraceful manner .,They let us down in a humiliating way .
Bei der Papierherstellung werden große Mengen an Holz verwendet .,Large amounts of timber are used in paper making .,Large quantities of wood are used in paper production .
Er schnäuzte sich die Nase in ein Taschentuch .,He blew his nose in a handkerchief .,He was sniffing his nose in a handkerchief .
Bringe deine Bücher herunter .,Bring your books down .,Get your books down .
Tom wollte Maria eine Nettigkeit erweisen .,Tom wanted to do something nice for Mary .,Tom wanted to be nice to Maria .
Tom rettete die Welt vor dem Bösen .,Tom saved the world from evil .,Tom saved the world from evil .
Eier werden im Sommer schnell schlecht .,Eggs go bad quickly in the summer .,Eggs quickly get bad in the summer .
Tom braucht nicht zu kommen .,Tom doesn 't need to come .,Tom doesn 't need to come .
Ich will mit ihm ausgehen .,I want to go out with him .,I want to go out with him .
"Als ich jung war , übertrieb ich es mit den Beatles .",I went overboard about the Beatles when I was young .,"When I was young , I overdid it with the Beatles ."
Tom muss Mary wirklich die Wahrheit sagen .,Tom really needs to tell Mary the truth .,Tom really needs to tell Mary the truth .
Er hat dem Rauchen und Trinken abgeschworen .,He renounced smoking and drinking .,He turned down smoking and drinking .
Fleiß führt oft zum Erfolg .,Diligence often leads to success .,Fleß often leads to success .
"Freiheraus gesagt , erringt diese Mannschaft deshalb keine Siege , weil du ihr im Wege stehst .","To put it bluntly , the reason this team won 't win is because you 're holding them back .","As a matter of fact , this team won 't win because you 're in the way ."
Tom leistet gute Arbeit .,Tom does good work .,Tom 's doing a good job .
Probieren wir eine andere Herangehensweise an die Angelegenheit !,Let 's try another approach to the matter .,Let us try another approach to the matter !
"Das Containerschiff machte außerhalb des Hafens halt , bis das Lotsenboot kam .",The container ship kept station outside the harbor until the pilot boat arrived .,The container ship stopped outside the port until the pilot boat came .
Das ist eine unklare Geschichte .,It 's a vague story .,This is an unclear story .
Maria hat ein geringes Selbstwertgefühl .,Mary has low self @-@ esteem .,Maria has a low self @-@ esteem .
"Ich weiß nicht , was ich glauben soll .",I don 't know what to believe .,I don 't know what to believe .
"Ich hoffe , dass es euch gut geht .",I hope you 're doing well .,I hope you 're all right .
Wo ist Marias Handtasche ?,Where 's Mary 's purse ?,Where 's Maria 's purse ?
Tom schlug ein Loch in die Wand .,Tom punched a hole in the wall .,Tom put a hole in the wall .
Schlafe gut und träume süß !,"Good night , sleep tight , don 't let the bedbugs bite .",Sleep well and dream sweet !
Nichts hält ewig in dieser verhexten Welt - nicht mal unsere Sorgen .,Nothing is permanent in this wicked world - not even our troubles .,Nothing lasts forever in this bewitched world - not even our concerns .
Hawking wandte sich wieder seinen Studien zu .,Hawking went back to his studies .,Hawking turned to his studies again .
Sie lernte schnell .,She learned quickly .,She learned quickly .
Der Junge vollendete seine Mission unter der Führung eines Eichhörnchengeistes .,"The boy succeeded in his quest , guided by the spirit of a squirrel .",The boy completed his mission under the leadership of an squirrel spirit .
Warum besucht ihr uns ?,Why are you visiting us ?,Why are you coming to see us ?
"Könntest du mit mir reden , während ich das Geschirr abwasche , und mir Gesellschaft leisten ?",Can you talk to me while I do the dishes and keep me company ?,Could you talk to me while I wash the dishes and keep me company ?
"Ich habe verschlafen , also bin ich spät zur Schule gekommen .","I slept in , so I was late to school .","I overslept , so I came to school late ."
"Tom bedeutete Maria , sich zu setzen .",Tom gestured for Mary to sit down .,Tom meant Maria to sit down .
Seid ihr neugierig ?,Are you curious ?,Are you curious ?
Ich habe gerade erst angefangen .,I have only just begun .,I just started .
"Weißt du , wie er heißt ?",Do you know his name ?,Do you know his name ?
"Tom mutmaßte Maria gegenüber , dass Johannes reich sein müsse .",Tom told Mary that he thought John was rich .,= = References = = = = External links = = * Official website
Tom und Maria saßen nebeneinander auf dem Sofa .,Tom and Mary were sitting next to each other on the couch .,Tom and Maria were sitting next to each other on the sofa .
Heute ist der beste Tag meines Lebens .,Today is the best day of my life .,Today is the best day of my life .
"Ich denke , Sie sind im Recht .",I think that you 're right .,I think you 're right .
"Drei Monate sind vergangen , seit er aus Japan abgereist ist .",It has been three months since he left Japan .,Three months have passed since he left Japan .
""" Da ist ein Haar in meiner Suppe ! "" - "" Das sieht wie eines von dir aus "" .",""" There 's a hair in my soup . "" "" It looks like your hair . """,""" There 's a hair in my soup ! "" - "" It looks like one of you . """
Wie geht es da unten ?,How 's it going down there ?,How 's it going down there ?
"Ich habe einen Haufen Briefe auf dem Schreibtisch liegen , die ich beantworten muss .",There 's a pile of letters on my desk that I have to answer .,I have a bunch of letters on my desk that I have to answer .
Das ist ein unerhebliches Detail .,That 's a minor detail .,This is an inconsiderable detail .
Wo haben Sie sie verloren ?,Where did you lose them ?,Where did you lose her ?
Ich werde diesen Mantel nehmen .,I 'll take this coat .,I 'll take this coat .
Taschenwörterbücher sind aus der Mode gekommen .,Pocket dictionaries are out of fashion .,Pocketbooks have come out of fashion .
Sie müssen nicht reingehen . Sie können an der Zapfsäule zahlen .,You don 't have to go inside . You can pay at the pump .,You don 't have to go in .
Tom ist ein Prinz .,Tom is a prince .,Tom is a prince .
Lasst uns bitte allein !,"Leave us alone , please .",Please leave us alone !
Würden Sie mir eine Zigarette geben ?,Would you give me a cigarette ?,Would you give me a cigarette ?
Das ist nicht Deine Angelegenheit .,It 's none of your business !,This is not your business .
Die Atombombe ist das Produkt der Physik des zwanzigsten Jahrhunderts .,The atomic bomb is the offspring of 20th century physics .,The atomic bomb is the product of the physics of the twentieth century .
Tom hat Maria sehr viel Geld geliehen .,Tom has lent Mary a lot of money .,Tom lent Maria a lot of money .
"Ich denke , ein Film ist viel unterhaltsamer als jedes Buch .",I think a movie is more entertaining than any book .,I think a movie is much more entertaining than any book .
Wir besuchten Nikko am nächsten Tag .,We visited Nikko the next day .,We visited Nikko the next day .
Tom hat sich seitdem sehr verändert .,Tom has changed a lot since then .,Tom 's changed a lot since then .
Sie lebt hier nicht mehr .,She doesn 't live here anymore .,She doesn 't live here anymore .
Du suchst nur nach einem Sündenbock .,You 're just looking for someone to blame .,You 're just looking for a scapegoat .
Tom hat nicht genug Erfahrung .,Tom doesn 't have enough experience .,Tom doesn 't have enough experience .
Kannst du es herausfinden ?,Can you find out ?,Can you find out ?
"Wir müssen herausfinden , wo er sich versteckt hält .",We need to find out where he 's hiding .,We need to find out where he 's hiding .
Hubble ist ein Teleskop im All .,Hubble is a space telescope .,Hubble is a telescope in space .
Das größte Glück liegt in der Freiheit .,The greatest happiness lies in freedom .,The greatest happiness lies in freedom .
Tom kann nicht so gut wie Maria singen .,Tom can 't sing as well as Mary .,Tom can 't sing as well as Maria .
Ich sehe ihn selten im Netz .,I rarely see him on the Internet .,I rarely see him on the net .
Tom baute einen Papierflieger .,Tom made a paper airplane .,Tom built a paper plane .
Tom nahm seine Sachen und verstaute sie in seiner Aktentasche .,Tom picked up his stuff and put it in his briefcase .,Tom took his things and left them in his briefcase .
Er schrieb etwas auf ein Stück Papier .,He wrote something on a piece of paper .,He wrote something on a piece of paper .
"Es schien so , als wollte Tom noch etwas sagen , aber das tat er nicht .","It looked like Tom wanted to say more , but he didn 't .","It seemed like Tom was going to say something else , but he didn 't ."
"Ich würde mich freuen , wenn du mich Tom nennen würdest .",I 'd be happy if you 'd call me Tom .,I 'd be happy if you 'd call me Tom .
Kommst du an die Sachen auf dem oberen Regal ran ?,Can you reach what 's on the top shelf ?,Can you get to the things on the top shelf ?
Tom setzte sich neben Maria auf den Boden .,Tom sat down on the floor next to Mary .,Tom sat down next to Maria on the ground .
Man kann verschwendete Zeit nicht zurückgewinnen .,You can 't get back the wasted time .,You can 't win back wasted time .
Ich hätte ihn nicht küssen sollen .,I shouldn 't have kissed him .,I shouldn 't have kissed him .
Tom war ganz klar müde .,Tom was obviously tired .,Tom was clearly tired .
Ich kann nicht weitergehen .,I can 't go any further .,I can 't go on .
Ich stimme Ihnen voll und ganz zu .,I fully agree with you .,I fully agree with you .
Tom platzt schnell die Hutschnur .,Tom has a short fuse .,Tom 's gonna break the hat line .
"Es bereitete ihr viel Freude , die große Halle zu durchschreiten , daselbst die Bildnisse ihrer Vorfahren hingen .","She was very fond of walking through the great hall , where hung the portraits of her ancestors .","It made her much joy to walk through the great hall , there the images of her ancestors hung ."
Du bist der Schutzengel meiner Einsamkeit .,You are the guardian angel of my solitude .,You are the guardian angel of my loneliness .
Hinter den Wolken scheint die Sonne .,The sun shines behind the clouds .,The sun is shining behind the clouds .
Ich habe die Identität des Opfers herausgefunden .,I 've discovered the victim 's identity .,I found out the victim 's identity .
Wer hat das Fenster offen gelassen ?,Who left the window open ?,Who left the window open ?
"Ich denke daran , nach Europa zu gehen .",I 'm thinking of going to Europe .,I am thinking of going to Europe .
Er ist ein Gentleman .,He is a gentleman .,He 's a gentleman .
Du brauchst nur etwas Geduld .,All you need is a little patience .,You just need a little patience .
"Es mag wie eine schrecklich große Summe Geldes erscheinen , aber es wird gut investiertes Geld sein .","It may seem like an awful lot of money , but it 'll be money well spent .","It may seem like a terribly large sum of money , but it will be well @-@ invested money ."
Tom vermisste das Grüne .,Tom missed the green .,Tom missed the green .
Er ist völlig unmöglich .,He is utterly impossible .,He 's completely impossible .
"Oh , Nein !",Oh no !,"Oh , no !"
An deiner Stelle hätte ich das nicht getan .,"If I were you , I wouldn 't have done that .","If I were you , I wouldn 't have done that ."
Schon so spät ?,Is it already so late ?,So late ?
"Danke , Kumpel !","Thanks , bud !","Thank you , buddy ."
Bis zum heutigen Tage nennen wir sie Indianer .,To this day we call them Indians .,To this day we call them Indians .
Der Streit zog bedauerliche Folgen nach sich .,The quarrel had unfortunate consequences .,The dispute resulted in unfortunate consequences .
"Das Wetter war nicht nur kalt , sondern auch feucht .","The weather was not only cold , it was also damp .","The weather was not only cold , but also wet ."
"Würdet ihr meine Kinder betreuen , während ich auf Urlaub bin ?",Would you look after my children while I am away on vacation ?,Would you care for my children while I 'm on vacation ?
"Sie trat vor , um ihm die Hand zu reichen .",She stepped forward to shake his hand .,She came forward to give him her hand .
Tom sieht sich die Abendnachrichten an .,Tom is watching the evening news .,Tom 's looking at the evening news .
Jane kommt vielleicht .,Maybe Jane will come .,Jane may be coming .
"Er hört sich wie Mariah Carey an , wenn er singt .",He sounds like Mariah Carey when he sings .,He sounds like Mariah Carey when he sings .
Welchen Nutzen hätte das ?,What good would come of it ?,What benefit would that have ?
Du bist die Größte .,You are tallest .,You 're the greatest .
Ich habe Tom heute zum allerersten Mal überhaupt lächeln sehen .,Today was the first time I ever saw Tom smile .,I saw Tom smile for the first time today .
Mein Lehrer hat vollkommenes Vertrauen in mich .,My teacher has perfect trust in me .,My teacher has complete trust in me .
Kleider machen Leute .,Clothes make the man .,Clothes make people .
Ich werde dir nun das Foto zeigen .,I 'll show you the photo now .,I 'll show you the picture now .
Das Lied ist ein Ohrwurm .,That song is catchy .,The song is an earworm .
Dieses Wort hat zwei Bedeutungen .,This word has a double meaning .,This word has two meanings .
"Du bist dümmer , als ich dachte .",You are more stupid than I thought .,You 're dumber than I thought .
Gehört diese Mütze Ihnen ?,Does this cap belong to you ?,Is this hat yours ?
Tom ist ein sehr angesehener Astronom .,Tom is a very well @-@ respected astronomer .,Tom is a very prestigious astronomer .
Tom zahlt uns nichts .,Tom isn 't paying us anything .,Tom 's not paying us anything .
Was kann Tom gut ?,What 's Tom good at doing ?,What good is Tom ?
Die Fenster waren offen .,The windows were open .,The windows were open .
Zurückweisung tut weh .,Rejection hurts .,Rejection hurts .
Willst du hier arbeiten ?,Do you want to work here ?,You want to work here ?
"Hast du dich entschieden , nach Australien zu gehen ?",Have you decided to go to Australia ?,Did you decide to go to Australia ?
Das Rauchen ist in diesem Raum nicht gestattet .,Smoking is prohibited in this room .,Smoking is not allowed in this room .
"Das Wort , das Mary direkt vor dem Komma hatte , um Tom zur Weißglut zu bringen , war "" gelöscht "" .","The word that Mary had , just before the comma , to enrage Tom , was the word "" erased . ""","The word Mary had right in front of the comma to bring Tom to the white glow was "" erased . """
Tom aß kaum etwas .,Tom hardly ate anything .,Tom barely ate anything .
"Harry , ich mache mir Sorgen .","Harry , I 'm worried .","Harry , I 'm worried ."
""" Versprichst du ' s ? "" - "" Ja "" .",""" Do you promise ? "" "" Yes . """,""" Do you promise ? "" "" Yes . """
"Niemand weiß , was mit ihm passiert ist .",No one knows what has happened to him .,No one knows what happened to him .
Es stand für eine Weile auf Messers Schneide .,It was touch @-@ and @-@ go there for a while .,It was on Messer 's cut for a while .
Sie ist Atheistin .,She is an atheist .,She 's an atheist .
Ich muss Tom helfen sein Zimmer aufzuräumen .,I have to help Tom clean his room .,I have to help Tom clean up his room .
Sie dürfen unten gerne kommentieren .,Feel free to leave comments below .,You may comment below .
"Er ist mein Bruder , nicht mein Vater .","He is my brother , not father .","He 's my brother , not my father ."
Tom war früher mal Französischlehrer .,Tom used to be a French teacher .,Tom used to be a French teacher .
Das Hotel brannte ab .,The hotel burned down .,The hotel burned down .
Meine Schwester macht mich noch verrückt !,My sister is driving me crazy .,My sister is still driving me crazy !
Tut mir leid . Das wusste ich nicht .,I 'm sorry . I didn 't know .,"I 'm sorry , I didn 't know that ."
"Ich fürchte , Sie haben sich verwählt .",I 'm afraid you have got the wrong number .,I 'm afraid you have a wrong number .
"Maria sagte Tom , dass sie glaube , Johannes sei allein .",Mary told Tom that she thought John was alone .,Mary told Tom that she believed John was alone .
Der Englisch sprechende Junge da ist größer als ich .,That boy who is speaking English is taller than I .,The English @-@ speaking boy is bigger than me .
Ich gehe gern im Wald spazieren .,I like taking walks in the woods .,I like to go for a walk in the woods .
Ich kann kein Auto fahren .,I can 't drive .,I can 't drive a car .
Welche Speisen vermeiden Sie ?,What foods do you avoid eating ?,What food do you avoid ?
Ihr solltet euch schämen .,You ought to be ashamed .,You should be ashamed of yourself .
Sie hat ihren Text vermasselt .,She blew her lines .,She screwed up her text .
Komm nicht hier heraus .,Don 't come out here .,Don 't come out of here .
Die Autoproduktion in jenem Jahr erreichte einen Rekordwert von 10 Millionen Fahrzeugen .,Car production in that year reached a record 10 million vehicles .,Car production in that year reached a record value of 10 million vehicles .
Toms Erklärung war interessant .,Tom 's explanation was interesting .,Tom 's explanation was interesting .
Maria hat drei Bücher geschrieben .,Mary has written three books .,Maria wrote three books .
"Es ist zwar billig , doch die Qualität ist nicht von sonderlicher Güte .","It 's cheap , but the quality isn 't that good .","It is cheap , but the quality is not of special quality ."
Glühbirnen verbrauchen Elektrizität .,Lightbulbs consume electricity .,Light bulbs use electricity .
"Ich schaue danach , wenn ich zurückkomme .",I 'll look it over after I come back .,I 'll look for it when I get back .
"Ein Lob ist so viel wert wie der Mensch , der es ausspricht .",A praise is worth as much as the person who pronounces it .,A praise is worth as much as the man who speaks it .
Danke für eure schnelle Antwort !,Thanks for your quick answer .,Thank you for your quick answer !
Esperanto ist eine Kunstsprache .,Esperanto is a constructed language .,Esperanto is an art language .
"Ist das dein Buch , Mike ?","Is this your book , Mike ?","Is this your book , Mike ?"
"Danach war nichts mehr , wie es war .",Things were never the same after that .,"After that , nothing was like it was ."
Maria hielt sich das Kleid an .,Mary held the dress against her body .,Mary kept the dress .
Ich wollte euch nie in Gefahr bringen .,I never meant to put you in any danger .,I never wanted to put you in danger .
Tom hatte nicht den Mut abzudrücken .,Tom didn 't have the courage to pull the trigger .,Tom didn 't have the courage to pull the trigger .
Du kennst Tom doch gar nicht .,You don 't even know Tom .,You don 't know Tom .
Ich habe mit dem Rauchen aufgehört .,I 've given up smoking .,I quit smoking .
Tom war schnell .,Tom was quick .,Tom was fast .
Sie setzte sich ans Klavier und begann zu spielen .,She took her seat at the piano and began to play .,She sat down at the piano and began to play .
"Oh , Maria , du siehst ja umwerfend aus !","Oh , Mary , you look terrific !","Oh , Maria , you look amazing !"
Ich möchte rund um die Welt reisen .,I 'd like to travel around the world .,I want to travel around the world .
Tom und Maria fanden Johannes nett .,Tom and Mary told me that they thought John was nice .,Tom and Maria found Johannes nice .
"Tom weiß , dass er Maria morgen helfen muss .",Tom knows he has to help Mary tomorrow .,Tom knows he has to help Maria tomorrow .
Nancy hat Angst vor Hunden .,Nancy is afraid of dogs .,Nancy 's afraid of dogs .
Was ist euer Lieblingsshampoo ?,What 's your favorite shampoo ?,What 's your favorite shampoo ?
Kommen Sie jetzt mit mir .,Come with me now .,Come with me now .
"Tom weiß , dass Maria Reggae mag .",Tom knows that Mary likes reggae .,Tom knows Maria likes Reggae .
Was für eine hübsche Frau !,What a pretty woman !,What a beautiful woman !
"Tom hörte , wie Maria und Johannes sich stritten .",Tom heard Mary and John arguing .,Tom heard Mary and John fighting .
In diesem Augenblick schien sein ganzes vergangenes Leben an ihm vorbeizuziehen .,"At this moment , all his past life seemed to flash across his mind .","At that moment , his whole past life seemed to be moving forward with him ."
Lauf um dein Leben !,Run for your life !,Run for your life !
"Wenn du dich anstrengst , wirst du das Examen bestehen .","If you work hard , you 'll pass your exam .","If you try , you 'll pass the exam ."
Bitte machen Sie sich keine Mühe .,Please don 't bother .,Please don 't bother .
Tom traf hier als letzter ein .,Tom was the last one to get here .,Tom was the last one to arrive here .
"Ich halte nichts von Astrologie , aber das will nicht besagen , dass ich nicht mein Horoskop lese .","I don 't believe in astrology , but that doesn 't mean that I don 't read my horoscope .","I don 't think of astrology , but that doesn 't mean I don 't read my horoscope ."
Sie fuhren mit dem Auto zum Bahnhof .,They went to the station by car .,They went by car to the station .
"Er wird Ihnen liefern , was Sie benötigen .",He will provide you with what you need .,He 'll give you what you need .
Ich kenne sie seit zwei Jahren .,I have known her for two years .,I 've known her for two years .
Tom fing an zu schluchzen .,Tom began to sob .,Tom started sobbing .
"Wenn du nicht mehr lernst , wirst du bestimmt versagen .",You are bound to fail unless you study harder .,"If you stop learning , you 'll probably fail ."
Bin ich an der Reihe ?,Is it my turn ?,It 's my turn ?
"Du bist nicht deprimiert , oder ?","You 're not depressed , are you ?","You 're not depressed , are you ?"
Sie widmete ihr Leben der Wissenschaft .,She dedicated her life to science .,She dedicated her life to science .
Bist du in Deutschland einen Mercedes gefahren ?,Did you drive a Mercedes in Germany ?,Did you drive a Mercedes in Germany ?
Wir brauchen hier einen Sanitätstrupp !,We need a medical team here !,We need a medical team here !
Tom wurde von einem Polizisten angeschossen .,Tom was shot by a police officer .,Tom was shot by a police officer .
Ich werde in ungefähr einer Stunde zurück sein .,I 'll be back in an hour or so .,I 'll be back in about an hour .
Ich rasierte mich .,I shaved .,I shaved .
"Ich hoffe , du hast gut geschlafen .",I hope you had a good night 's sleep .,I hope you slept well .
Der Mann entsprach der Beschreibung .,The man answered to the description .,The man was the same as the description .
"Jeder weiß , dass diese Chemikalie für den Menschen schädlich ist .",Everyone knows that this chemical is harmful to man .,Everyone knows that this chemical is harmful to man .
Betrachte die Sterne .,Look at the stars .,Look at the stars .
"Hoffen wir , dass die Vernunft obsiegt .",Let 's hope that common sense prevails .,Let 's hope that reason will prevail .
Du bist kein Verwandter von mir .,You are no relative of mine .,You 're not a relative of mine .
Ich dachte den ganzen Tag an Tom .,I spent all day thinking about Tom .,I 've been thinking about Tom all day .
"Tom hat Spaß an allem , was er tut .",Tom enjoys himself at everything he does .,Tom 's having fun with everything he 's doing .
"Wir haben versucht , ihn zu warnen .",We tried to warn him .,We tried to warn him .
"Ich bitte dich , sag mir die Wahrheit .",I plead you to tell me the truth .,"I beg you , tell me the truth ."
"Der Mensch ist das einzige Tier , das Feuer benutzt .",Man is the only animal that uses fire .,Man is the only animal that uses fire .
"Wie jeder weiß , ist er ein Genie .","As everyone knows , he is a genius .","As everyone knows , he 's a genius ."
Wir können das nicht .,We can 't do it .,We can 't do this .
Er wurde von vier Polizeibeamten mitten in der Nacht abgeführt .,He was taken away by four police officers in the middle of the night .,He was taken away by four police officers in the middle of the night .
Wir haben drei Kinder .,We have three children .,We have three children .
"Ich bin hier , um zu helfen .",I 'm here to help .,I 'm here to help .
"Wir müssen achtgeben , dass das nie wieder passiert .",We must be careful that this never happens again .,We have to make sure this never happens again .
Sie wurden auf frischer Tat gefasst .,They were caught red @-@ handed .,They were caught up in a fresh act .
Ich bin Japanischlehrer .,I 'm a Japanese teacher .,I 'm a Japanese teacher .
"Amerika ist ein Land , das immer in Bewegung ist .",America is a country on the move .,America is a country that is always on the move .
Ist er noch da ?,Is he still there ?,Is he still there ?
Ich komme schon klar .,I can manage .,I 'll be fine .
Sie ist noch in der Küche .,She is still in the kitchen .,She 's still in the kitchen .
Wann hast du das bemerkt ?,When did you notice that ?,When did you notice that ?
Das ist eine alte russische Sitte .,That 's an old Russian custom .,This is an old Russian custom .
Geh mir aus den Augen !,Get out of my sight !,Get out of my sight !
"Sie beschloss , sich einer Operation zu unterziehen .",She decided to have surgery .,She decided to undergo an operation .
Ich treffe mich heute mit Tom .,I 'll see Tom today .,I 'm meeting Tom today .
"Was ist das für ein Mädchen , mit dem Tom da spricht ?",Who 's the girl Tom is talking to ?,What is that girl Tom is talking to ?
Ich musste schmunzeln .,I couldn 't keep from smiling .,I had to puke .
Sie interessieren sich nicht für andere Sprachen .,They are not interested in other languages .,You are not interested in other languages .
Toms Geburtstag war vorgestern .,Tom 's birthday was the day before yesterday .,Tom 's birthday was the day before yesterday .
Ich kann Tom nicht finden . Ist er schon gegangen ?,I can 't find Tom . Has he gone already ?,I can 't find Tom .
Was hast du dort sonst noch getan ?,What else did you do there ?,What else did you do there ?
Tom hat ' s mir nicht gegeben .,Tom didn 't give it to me .,Tom didn 't give it to me .
Ein paar Kinder spielten in der Nähe des Teiches mit einer Wurfscheibe .,Some children were playing frisbee near the pond .,A few children played near the pond with a throwing disc .
Ein Narr und sein Geld sind leicht geteilt .,A fool and his money are easily parted .,A fool and his money are easily divided .
"Wann möchtest du , dass ich rüberkomme ?",When would you like me to come over ?,When do you want me to come over ?
"Das ist einer der Aussprüche , die er ständig von sich gibt .",This is one of the things he always says .,That 's one of the excuses he keeps making .
""" Mama , weißt du , wo das Fieberthermometer ist ? "" - "" Ist es nicht da , wo es immer ist ? "" - "" Nein , anscheinend nicht "" .",""" Mom , do you know where the thermometer is ? "" "" It 's not in the usual place ? "" "" Yeah , I checked . """,""" Mom , do you know where the fever thermometer is ? "" "" Isn 't it where it always is ? "" "" No , apparently not . """
Wie viel ist das wert ?,What 's it worth ?,How much is that worth ?
Er ermüdete bald .,He got tired soon .,He was about to get tired .
Ich kann Marika nicht anschreien . Sie ist ein Gast und kommt aus dem Ausland .,I cannot shout at Marika . She 's a guest and she comes from abroad .,"I can 't yell at Marika , she 's a guest and she 's from abroad ."
Früher oder später musste das passieren .,This was bound to happen sooner or later .,"Sooner or later , this had to happen ."
Unsere Picknickteller sind aus Plastik .,Our picnic plates are made of plastic .,Our picnic plates are made of plastic .
"Findest du , dass das rosa aussieht ?",Does this look pink to you ?,Do you think it looks pink ?
Möchtest du etwas Kuchen ?,Do you want a little cake ?,Would you like some cake ?
Wir füttern unseren Hund dreimal am Tag .,We feed our dog three times a day .,We feed our dog three times a day .
In diesem Gebäude gibt es fünf Aufzüge .,This building has five elevators .,There are five elevators in this building .
Tom kauft und verkauft Autos .,Tom buys and sells cars .,Tom buys and sells cars .
Es war wundervoll .,It 's been wonderful .,It was wonderful .
"Tom ist sehr gut darin , das Thema zu wechseln .",Tom is very good at changing the subject .,Tom is very good at changing the subject .
Tom hat Mary am 1. April richtig hereingelegt .,Tom got Mary good on April Fools ' Day .,Tom really set Mary up on April 1st .
Tom hat die Milch verschüttet .,Tom spilled the milk .,Tom spilled the milk .
"Tom ist bestimmt müde , nachdem er den ganzen Tag in der heißen Sonne schuftete .",Tom must be tired after working all day in the hot sun .,Tom must be tired after working in the hot sun all day .
Ich kriege dich .,I 'll get you .,I 'll get you .
Der Bär hat einen kurzen Schwanz .,The bear has a short tail .,The bear has a short tail .
Sie sieht wirklich hübsch aus .,She really looks pretty .,She looks really pretty .
"Tom sagte uns nicht , was wir wissen wollten .",Tom didn 't tell us what we wanted to know .,Tom didn 't tell us what we wanted to know .
Er war sich der Situation nicht bewusst .,He was unaware of the situation .,He was not aware of the situation .
Die können kommen .,They may come .,They can come .
"Ihr Vater wird nicht kommen , denn er ist wirklich sehr beschäftigt .","Her father won 't come , he is really busy .",Your father 's not coming because he 's really busy .
"Was war das Grusligste , was du je getan hast ?",What 's the scariest thing you 've ever done ?,What was the most scary thing you 've ever done ?
"Der Buchhalter der Firma musste ins Gefängnis , weil er die Bilanzen gefälscht hatte .",The company accountant was sent to jail for cooking the books .,The company 's accountant had to go to prison because he had forged the balance sheets .
Weiß Tom schon ?,Does Tom know ?,Does Tom know yet ?
